COURSE TAG,COURSE NAME,CORES SATISFIED
CSCI 10 (50284),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
CSCI 10 (50285),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
DANC 49 (50306),Dance Composition,"Design Thinking (Pathway), Arts"
ECON 1 (51037),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51039),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51045),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51042),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51043),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51055),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51017),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51018),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51044),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ECON 1 (51034),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science"
ELEN 21 (51313),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21 (51314),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21 (51312),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21 (51512),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51315),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51316),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51318),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51319),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51513),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELEN 21L (51317),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)"
ELSJ 135 (51406),Research:Social Entrepreneursh,"Design Thinking (Pathway), Values Science Technology (Pathway), Vocation (Pathway), Experiential Learning for Social Justice, Science Technology & Society"
ENGL 181 (50365),Engineering Communications,"Design Thinking (Pathway), Advanced Writing, Partial Credit Arts, Partial Credit Engineering, Math, CS"
ENGR 19 Lab (51518),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics"
ENGR 19 Lab (51862),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics"
ENGR 19 (51352),Ethics in Technology L&L,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics"
ENGR 19 Lab (51358),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics"
ENGR 19 Lab (51372),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics"
ENGR 110 (51351),Community Based Engr. Design,"Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement"
ENVS 21 Lab (50421),Environmental Biology Lab,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)"
ENVS 21 Lab (50422),Environmental Biology Lab,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)"
ENVS 21 (50420),Environmental Biology,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)"
ENVS 50 (51450),World Geography,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3"
ENVS 146 (50425),"Agri, Env & Dev: Latin America","Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)"
HIST 27 (51632),Public & Digital History,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Civic Engagement"
HIST 79 (50473),Technology: Steam to Cyborgs,"Design Thinking (Pathway), Values Science Technology (Pathway), Science Technology & Society"
HIST 127 (51638),Public & Digital History,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Civic Engagement"
HIST 179 (50474),Technology: Steam to Cyborgs,"Design Thinking (Pathway), Values Science Technology (Pathway), Science Technology & Society"
MECH 10L (51375),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51377),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51388),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51519),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51520),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51376),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MECH 10L (51403),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)"
MGMT 40 (51715),Found Knldg of Mgning Sustain,"Design Thinking (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)"
MGMT 110 (51720),Global Microfin for Entrep Dev,"Design Thinking (Pathway), Experiential Learning for Social Justice"
MGMT 164 (51090),Introduction to Entrepreneursh,"Design Thinking (Pathway), Vocation (Pathway)"
MGMT 176 (51915),Sustainable Food Systems,"Design Thinking (Pathway), Feeding the World (Pathway), Values Science Technology (Pathway)"
OMIS 105 (51139),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)"
OMIS 105 (51157),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)"
OMIS 107 (51161),Systems Programming,"Design Thinking (Pathway), The Digital Age (Pathway)"
SOCI 185 (51870),Social Entrepreneurship,"Design Thinking (Pathway), Values Science Technology (Pathway), Vocation (Pathway), Experiential Learning for Social Justice, Science Technology & Society"
THTR 32 (50915),Costume Construction,"Design Thinking (Pathway), Arts"
THTR 33 (50906),Stage Lighting,"Design Thinking (Pathway), Arts"
ANTH 50 (50006),World Geography,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3"
ANTH 133 (51531),Human Nutrition & Culture,"Feeding the World (Pathway), Values Science Technology (Pathway), Science Technology & Society"
ANTH 185 (51535),"Culture, Politics, & Power","Feeding the World (Pathway), Cultures and Ideas 3"
ECON 134 (51052),African Economic Development,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3"
ENVS 50 (50415),World Geography,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3"
POLI 40 (50775),Politics of US Econ Policies,"Feeding the World (Pathway), Social Science"
SOCI 165 (50854),Human Services,"Feeding the World (Pathway), Race Place & Soc Inequalities (Pathway), Experiential Learning for Social Justice"
HIST 116S (51637),Sex & Gender:High Imperialism,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3"
HIST 136 (51639),Postwar Europe: Gender & Race,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Paradigm Shifts (Pathway), Cultures and Ideas 3"
HIST 150 (51640),Gender&Sexuality in East Asia,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3"
WGST 124 (51700),Sex & Gender:High Imperialism,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3"
WGST 126 (51702),Gender&Sexuality in East Asia,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3"
WGST 172 (51706),Postwar Europe: Gender & Race,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Paradigm Shifts (Pathway), Cultures and Ideas 3"
ENGL 144G (51610),18th Century Women British Lit,"Gender, Sexuality & the Body (Pathway)"
ETHN 54A (52008),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Diversity"
ETHN 154 (50449),Women of Color in the US,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 154A (51625),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity, Social Science"
SOCI 126 (51686),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity, Social Science"
WGST 25 (51698),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Diversity"
WGST 51 (50933),Introduction to LGBTQ Studies,"Gender, Sexuality & the Body (Pathway), Diversity"
WGST 125 (51701),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity, Social Science"
WGST 141A (51704),18th Cent. Women British Lit,"Gender, Sexuality & the Body (Pathway)"
POLI 142 (50784),Politics in Middle East,"Islamic Studies (Pathway), Politics & Religion (Pathway)"
SCTR 19 (50836),Religions of the Book,"Islamic Studies (Pathway), Religion Theology & Culture 1"
SCTR 19 (50837),Religions of the Book,"Islamic Studies (Pathway), Religion Theology & Culture 1"
MUSC 130 (51647),Anthropology of Music,"Justice and the Arts (Pathway), Cultures and Ideas 3"
ENGL 115 (51607),Argumentation,"Law & Social Justice (Pathway), Advanced Writing"
BUSN 196 (50998),Leadership Practicum,"Leading People, Org & Soc Chng (Pathway)"
BUSN 196 (51009),Leadership Practicum,"Leading People, Org & Soc Chng (Pathway)"
MILS 11 Lab (51421),The Army and Critical Thinking Lab,"Leading People, Org & Soc Chng (Pathway)"
MILS 11 (51420),The Army and Critical Thinking,"Leading People, Org & Soc Chng (Pathway)"
MILS 21 Lab (51423),Leadership and Decision Making Lab,"Leading People, Org & Soc Chng (Pathway)"
MILS 21 (51422),Leadership and Decision Making,"Leading People, Org & Soc Chng (Pathway)"
MILS 131 Lab (51425),Intro Management Warfighting Lab,"Leading People, Org & Soc Chng (Pathway)"
MILS 131 (51424),Intro Management Warfighting,"Leading People, Org & Soc Chng (Pathway)"
MILS 141 Lab (51427),The Army Officer Lab,"Leading People, Org & Soc Chng (Pathway)"
MILS 141 (51426),The Army Officer,"Leading People, Org & Soc Chng (Pathway)"
PHYS 5 (51663),Phys & Tech For Future Leaders,"Leading People, Org & Soc Chng (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Science Technology & Society"
COEN 19 (51270),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)"
COEN 19 (51502),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)"
COEN 19 (51227),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)"
COEN 19 (51231),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)"
MATH 51 (50556),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)"
MATH 51 (51461),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)"
MATH 51 (50523),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)"
MATH 51 (50529),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)"
PHIL 19 (50705),Knowledge and Reality,"Paradigm Shifts (Pathway), Advanced Writing"
TESP 2 (50892),"Magicians, Athletes & God","Paradigm Shifts (Pathway), Religion Theology & Culture 1"
TESP 50 (50891),Catholic Theology: Foundations,"Paradigm Shifts (Pathway), Religion Theology & Culture 2"
TESP 50 (50894),Catholic Theology: Foundations,"Paradigm Shifts (Pathway), Religion Theology & Culture 2"
TESP 50 (50897),Catholic Theology: Foundations,"Paradigm Shifts (Pathway), Religion Theology & Culture 2"
TESP 124 (50887),Theology of Marriage,"Paradigm Shifts (Pathway), Religion Theology & Culture 3"
COMM 116 (50042),Intercultural Communication,"Race Place & Soc Inequalities (Pathway), Diversity, Experiential Learning for Social Justice"
ETHN 20 (50439),Intro to Latina/o/x Studies,"Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 20 (51454),Intro to Latina/o/x Studies,"Race Place & Soc Inequalities (Pathway), Diversity"
ETHN 127 (50440),Race and Mass Incarceration,"Race Place & Soc Inequalities (Pathway), Diversity"
HIST 91 (51635),Africa in World History,"Race Place & Soc Inequalities (Pathway), Cultures and Ideas 3"
PHIL 186 (51657),Philosophy of Race,"Race Place & Soc Inequalities (Pathway), Diversity"
PHSC 125 (50728),"Race, Class, Gender, and PH","Race Place & Soc Inequalities (Pathway), Diversity"
TESP 165 (50901),Romero & Salvadoran Martyrs,"Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3"
WGST 112 (50930),Women of Color in the US,"Race Place & Soc Inequalities (Pathway), Diversity"
ANTH 154 (50009),Environmental Anthropology,"Sustainability (Pathway), Civic Engagement"
BIOL 188 (50205),STEM Educ and Social Justice,"Sustainability (Pathway), Experiential Learning for Social Justice"
CENG 144 (51213),Water and Wastewater Treatment,"Sustainability (Pathway), Values Science Technology (Pathway)"
CENG 144L (51214),Water/Wastewater Treatment Lab,"Sustainability (Pathway), Values Science Technology (Pathway)"
ENGR 1 (52049),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement"
ENGR 1 (52243),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement"
ENGR 1 (51349),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement"
ENGR 1 (51350),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement"
ENVS 23 Lab (50417),Introduction to Earth Systems Lab,"Sustainability (Pathway), Values Science Technology (Pathway)"
ENVS 23 Lab (50418),Introduction to Earth Systems Lab,"Sustainability (Pathway), Values Science Technology (Pathway)"
ENVS 23 (50416),Introduction to Earth Systems,"Sustainability (Pathway), Values Science Technology (Pathway)"
HIST 92 (51636),Modern East Asia,"Sustainability (Pathway), Cultures and Ideas 3"
ACTG 134 (50954),Accounting Information Systems,"The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
ARTS 57 (50263),Digital Photography,"The Digital Age (Pathway), Arts"
ARTS 57 (50268),Digital Photography,"The Digital Age (Pathway), Arts"
ARTS 57 (51436),Digital Photography,"The Digital Age (Pathway), Arts"
ARTS 57 (51437),Digital Photography,"The Digital Age (Pathway), Arts"
OMIS 34 (51132),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
OMIS 34 (51142),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
OMIS 34 (51128),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
OMIS 34 (51148),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
OMIS 34 (51151),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
OMIS 34 (51150),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
OMIS 34 (51493),"Science,Info Tech, Busn & Soc","The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society"
ANTH 2 Lab (50011),Intro to Archaeology Lab,"Values Science Technology (Pathway), Social Science"
ANTH 2 Lab (50005),Intro to Archaeology Lab,"Values Science Technology (Pathway), Social Science"
ANTH 2 (50010),Intro to Archaeology,"Values Science Technology (Pathway), Social Science"
ANTH 2 (50003),Intro to Archaeology,"Values Science Technology (Pathway), Social Science"
ANTH 135 (51532),Human Development & Sexuality,"Values Science Technology (Pathway), Science Technology & Society"
ANTH 137 (51533),Evolutionary Medicine,"Values Science Technology (Pathway), Science Technology & Society"
BIOL 117 Lab (50207),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society"
BIOL 117 Lab (50208),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society"
BIOL 117 (50206),Epidemiology L&L,"Values Science Technology (Pathway), Science Technology & Society"
NEUR 1 (50683),Intro to Neuroscience,"Values Science Technology (Pathway), Science Technology & Society"
PHSC 1 (50715),Introduction to Public Health,"Values Science Technology (Pathway), Science Technology & Society"
PHSC 100 Lab (50719),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society"
PHSC 100 Lab (50720),Epidemiology L&L Lab,"Values Science Technology (Pathway), Science Technology & Society"
PHSC 100 (50718),Epidemiology L&L,"Values Science Technology (Pathway), Science Technology & Society"
PHSC 135 (51873),Human Development & Sexuality,"Values Science Technology (Pathway), Science Technology & Society"
SOCI 120 (50850),Survey Research & Stats Analys,"Values Science Technology (Pathway), Science Technology & Society"
ENGL 72 (51605),Poetry Writing,"Vocation (Pathway), Arts"
ENGL 73H (51606),Life Writing - Honors,"Vocation (Pathway), Advanced Writing, Arts"
LEAD 100AW (51575),Advanced Difficult Dialogues,"Vocation (Pathway), Advanced Writing"
ENGL 111 (50388),Writing for Social Change,"Advanced Writing, Civic Engagement, Experiential Learning for Social Justice"
ANTH 3 (50004),Intro to Cultural Anthropology,"Experiential Learning for Social Justice, Social Science"
RSOC 99 (50821),Sociology of Religion,"Experiential Learning for Social Justice, Religion Theology & Culture 2"
RSOC 99 (50822),Sociology of Religion,"Experiential Learning for Social Justice, Religion Theology & Culture 2"
